Naive,RandomizeUpdate,Randomize,KMP,Boyer-Mooer,String.indexOf
4216956,561549761,558118244,6796237,1403836,3735
4052132,526391817,521195704,6412714,1320998,3808
4482685,546028475,538857473,6488660,1295375,3544
4217726,575051976,577716651,7004058,1433602,3629
4503013,634267640,627996284,8061823,1466624,3652
3769007,537233326,528643271,6310743,1382162,3418
4334356,561956120,564359187,8156589,1518018,3494
4008455,547815814,532902262,6442660,1334963,3543
3671331,499637224,501780563,6153154,1262267,2961
3770529,520616260,521577571,7308563,1385060,3070
4254904,568568200,548878415,6876963,1415973,3276
4624081,496628977,495880882,6222073,1280724,3352
4043786,622257792,624876698,7231295,1453458,3552
4167903,500936809,510169668,7241244,1374466,3333
7520677,879605371,875570070,10631836,2176667,5814
8179143,824211810,782216823,9980136,2216423,6245
5246715,819009617,820516291,10148638,1995827,4850
4146618,623673817,623718166,7239347,1390743,3950
5299869,612306036,615597486,7386831,1528657,4289
4014276,586336888,589005789,6836246,1448036,3775
4424548,526961189,538469344,6523370,1298067,3604
4953893,478144720,478541527,6443626,1295528,3390
5130025,562074762,557846397,6971943,1400697,3855
4708703,609979801,598774485,7195603,1482686,3875
4775824,635297216,610916619,7449950,1561687,3965
5041439,570989627,580958353,7193866,1496491,4122
4765191,593357357,596804446,7580604,1559628,3613
4500535,486907144,484034478,6298322,1271578,3484
4234458,530946762,519623860,7562681,1419462,3452
4512823,521598365,532388707,6664529,1319525,3377
4030001,465862961,467123856,6018710,1273738,3166
4483843,468773320,449683162,5864708,1307848,3350
3974616,539068522,536027588,6298016,1292094,3003
3959151,530584849,530881646,6784917,1448266,3339
4539547,632394931,624598029,7230264,1478852,3782
4294077,537568185,539263606,6674961,1354250,3513
4159200,487770624,472681237,5991444,1210983,3492
4022304,595442960,588297859,6965668,1400191,3289
3876862,539240764,542383935,7502756,1368470,3083
4381823,523029845,511614268,6132258,1157015,3305
4171252,555795505,557359872,8429609,1488445,3526
4354849,561364305,544106104,6798076,1468379,16374
3658738,476744024,476935164,5937037,1267571,3633
4275118,600024054,583521661,7112035,1476379,3869
7483380,994646622,991265424,13122573,2568626,6320
8434516,838337934,844721821,11133672,2470480,6209
4463596,569229240,566606075,7120230,1590158,4452
4531801,551079357,548784248,6662558,1405555,4313
5407212,644870945,648270775,7838351,1536633,4200
4781818,530975752,524091122,7387983,1394764,3687
4580382,582291762,578747231,9280432,1535771,3493
3676652,602338836,596698627,6880839,1435851,3693
4120579,510537771,511952370,6355125,1325291,3834
4059140,484087839,483702332,6186838,1291067,3293
4336034,493525834,486942378,6079049,1243115,3231
3657870,416730312,421636634,5360278,1140437,3229
4406816,550096836,551579852,6690997,1415861,3342
5360635,549344270,549937960,6854868,1355204,3843
4170383,465352673,462564300,5853811,1247260,3680
4351749,571246732,548005448,6718464,1412646,3933
3347602,525357378,526314781,7267804,1339956,3169
4064883,460915315,452222460,6736328,1197883,3217
4054040,557813963,560431735,6511959,1307991,3168
3903135,485696750,480437397,5961297,1211195,3394
4361476,533523650,534873897,6478678,1290746,3579
4130123,580863631,579975343,6987123,1488700,3780
3896831,486427558,487880187,6062419,1307996,3727
5735215,672689867,681659899,8437557,1824151,4718
7141199,992879931,981391413,11882679,2582166,6436
5987258,802440648,776011204,9185971,1897535,5486
4880087,612181834,610345195,7315179,1466987,4124
5129164,641444265,644426140,7774249,2069244,4326
4806260,578777486,576348935,6846203,1343184,3670
5111797,536124336,513238814,6449318,1269745,3614
4843737,562483620,559701585,7056390,1411473,4398
4902314,590154404,591422108,7251987,1476847,4116
3510672,535661936,520008168,6051784,1235599,3204
3941481,527312713,528260688,6081698,1217097,3260
3535703,573497925,574105136,6749376,1394066,3102
3739959,508871522,512251013,6388456,1365517,3416
3745496,570452428,570830196,6620710,1350924,3841
4092321,528126120,524972525,6520048,1399727,3446
4873687,552354957,549775335,6856687,1479545,3695
7035726,950994114,953837908,10780776,2224092,6112
7661291,897670476,909271905,10907266,2367145,6641
5473563,640474320,636924090,7822808,1605306,4330
5066038,593708838,594779331,7528319,1611346,4188
4975396,606962342,602953105,7529250,1649040,4253
4680159,506571554,507284118,6525041,1371572,3935
