Naive, Randomized, KMP, Boyer-Mooer, String.indexOf
3290486,3243334,4471177,1183070,23099
3979153,3992920,5094696,1420654,28379
5107271,4924215,6487940,1882562,33953
3234399,3216560,4136048,1087857,22144
3873836,3847778,5333773,1367830,27240
3270946,3262933,4268144,1161807,23158
3291329,3235506,4319354,1091191,22676
3196899,3159610,4622401,1184212,23052
3351274,3306976,4622943,1226096,23411
3324617,3335401,4374762,1168571,22851
3172396,3144673,4338617,1117969,22214
3284513,3269282,4248898,1088573,23014
4100362,4037227,5308414,1321512,26962
3573837,3532561,4768275,1244044,23616
3506724,3453106,4719140,1231869,23673
3502273,3433833,4585361,1173256,23043
3322577,3290522,4464065,1131612,22528
3225194,3176743,4445771,1136541,22307
3194562,3181712,4528418,1156432,22291
3333295,3308533,4419835,1142898,22184
3659778,3614775,4898169,1310150,24365
3310854,3309760,4815892,1333269,23272
3551326,3537622,4693141,1233231,22645
3377323,3298034,4612487,1208347,22717
3370684,3392770,4730574,1198820,22584
4226525,4200436,5735891,1444705,28104
3733670,3697341,5025787,1306765,24332
3417388,3388464,4903488,1263152,23010
4134381,4121883,5722962,1433391,34856
3514467,3480319,4775671,1236718,22914
3515621,3443476,4755022,1225675,22203
3489466,3472245,4575683,1168158,22194
3644710,3615734,4855071,1212696,22546
3674113,3717197,5199322,1362383,23651
4735356,3827392,5249655,1370343,25913
3655401,3604054,5068712,1289393,22744
4052061,3967831,5792566,1453739,26656
3630060,3647460,4843935,1233682,22684
4189828,4224553,5828260,1500357,26180
3912725,3855224,5291941,1338973,31151
3980487,3918974,5398243,1397741,24577
3681259,3655518,4759617,1213740,22639
3506889,3438945,4769113,1217656,22090
3539110,3518605,5856537,1295246,22932
3925191,3839765,5350668,1356103,23955
4599611,4572522,6063956,1513119,26410
3786202,3748245,5231114,1305603,23689
3858814,3848831,4916973,1276909,23618
3811081,3769383,5020007,1250612,22723
4148658,4094714,5472713,1386063,25305
3957757,3910720,5367474,1354609,23496
4466647,4421445,5703507,1565178,25139
3831595,3783621,5287734,1345674,22926
3706976,3688225,5313427,1342138,22672
3635875,3620800,4967311,1237165,22087
3753867,3690140,4907394,1215122,22002
3907445,3833333,5552247,1400269,23801
4247172,4183268,5695318,1418714,24484
4675227,4625362,6094416,1545346,25691
3752758,3774222,5256622,1299788,22835
3795986,3802535,5214704,1256084,22107
4249881,4223463,5295417,1328474,23138
4458460,4541204,5904050,1560232,26613
3966670,3959597,5405028,1368246,22591
3820741,3815816,5356494,1343173,22471
3730762,3672755,5130014,1287178,22073
3845197,3828564,5507225,1336714,22876
3891773,3866440,5379163,1309032,22501
3912264,3884387,5178639,1302767,22528
4060839,4053830,5672082,1487081,22949
3923494,3870116,5503934,1388470,23422
3812396,3849301,5440703,1345400,22485
4732486,4750981,6632735,1654359,27450
4066029,4042494,5448984,1305593,22025
4246130,4209570,6091077,1518851,23801
4605153,4625030,6159166,1540687,25612
4155318,4151090,5493713,1357852,22518
3964659,3996789,5640428,1383069,22318
4704895,4670407,6456639,1597793,26103
4156828,4138799,5684095,1397820,23379
4315735,4291741,6019595,1509531,23118
4601684,4568386,6532007,2598184,25941
4017412,4035205,5612772,1391736,24532
4425082,4325393,6059973,1487348,24118
4053352,4085302,5844445,1411680,22635
4438851,4414390,5961787,2622598,23392
4400216,4391173,6155132,1530077,23624
4186557,4130064,5797719,1438579,22481
4951289,4840363,6441689,1574587,26219
4338640,4130298,5764442,1442127,22500
4336470,4240876,6141678,2327470,23012
5301629,5089086,6531353,1629818,26944
5037327,5024108,6612115,1715506,27120
4466759,4431960,6168085,1475394,23757
4505270,4439618,6078429,1578036,24255
5095889,4956247,6539322,1708784,26077
4802879,4790746,6544928,1637551,25165
5117657,5084918,6512867,1657062,25744
4520830,4492423,6006172,1475919,23586
5455077,5387440,6920768,1815719,27182
4647783,4456576,6191393,1588030,23697
5136226,5077492,6638097,1702952,26554
4524872,4442166,6140395,1459117,22769
4275067,4258161,5863431,1406272,21997
4980261,4978603,6479147,1644191,25427
4786828,4830003,6475326,1695393,25102
5407341,5191317,6971499,1872510,26010
4377142,4315162,5948036,1419885,22146
4520004,4509719,6166256,1494778,22924
4994652,5057355,6845208,1674928,25150
4924559,4857359,6357472,1599035,24773
4463021,4416009,6383014,2609121,22881
4460257,4398740,6019006,1474882,38717
4507371,4485377,6981193,1476439,22309
4808935,4755077,6432831,1574371,23437
4734080,4671408,6428975,1531763,23637
4807927,4867197,6724714,1599777,23150
4602698,4610491,6351686,1498044,22820
4720611,4768790,6206532,1528109,23818
5485774,5416144,7118602,1767482,26440
5002006,4882645,6683468,1684427,24467
4704962,4597060,6310527,1564813,22876
4669469,4586867,6549965,1518723,22403
5316105,5292391,7136488,1712061,25246
4979730,4871128,6830298,1636545,23798
4763243,4808817,6595529,1649251,23247
4724287,4645230,6480021,1593201,30201
5604792,5607901,7354141,1788965,26761
4659225,4606974,6366857,1517955,23206
6088431,4773979,6603081,1640327,23123
5231736,5137531,7084546,1726960,24709
4670271,4687685,6477665,1599282,22299
4630383,4596239,6362590,1551013,22374
4640361,4572707,6490133,1557035,22029
4648056,4653256,6667736,1619230,22714
4784444,4752155,6684237,1670486,22643
4673278,4660303,6562396,1606259,22669
4790904,4860078,6358445,1515405,22133
5052646,4922568,6571411,1514334,22486
4850740,4841211,6901472,1742112,22786
4919871,4933102,6831353,1648421,22748
4896732,4918549,6695206,1628603,22588
4748991,4737022,6495462,1557781,22354
5835386,5756135,8629119,1870805,26165
5678797,5581567,7765838,1874355,26293
5280831,5043531,7047008,1729267,24256
5363152,5376653,7152526,1732842,24969
5663612,5630437,8009950,1909208,26292
5007419,5005021,6996436,1726240,22933
5468406,5493635,7304598,1825820,24858
